week_start,week,new_confirmed_cases,new_deaths,perc_change_conf_cases,perc_change_deaths
2022-01-03,1,1,0,NA,NA
2022-01-10,2,2,0,100,NA
2022-01-17,3,1,0,-50,NA
2022-01-24,4,0,0,NA,NA
2022-01-31,5,0,0,NA,NA
2022-02-07,6,0,0,NA,NA
2022-02-14,7,3,0,NA,NA
2022-02-21,8,1,0,-66.66666667,NA
2022-02-28,9,4,0,300,NA
2022-03-07,10,5,1,25,NA
2022-03-14,11,2,0,-60,NA
2022-03-21,12,0,0,NA,NA
2022-03-28,13,1,0,NA,NA
2022-04-04,14,2,1,100,NA
2022-04-11,15,1,0,-50,NA
2022-04-18,16,2,0,100,NA
2022-04-25,17,2,0,0,NA
2022-05-02,18,1,0,-50,NA
2022-05-09,19,6,0,500,NA
2022-05-16,20,135,0,2150,NA
2022-05-23,21,187,0,38.51851852,NA
2022-05-30,22,615,1,228.8770053,NA
2022-06-06,23,548,0,-10.89430894,NA
2022-06-13,24,1210,0,120.8029197,NA
2022-06-20,25,1604,0,32.56198347,NA
2022-06-27,26,1714,1,6.857855362,NA
2022-07-04,27,3245,0,89.32322054,NA
2022-07-11,28,2737,0,-15.65485362,NA
2022-07-18,29,4345,0,58.7504567,NA
2022-07-25,30,5226,1,20.27617952,NA
2022-08-01,31,6191,7,18.46536548,600
2022-08-08,32,7576,1,22.37118398,-85.71428571
2022-08-15,33,5948,5,-21.48891235,400
2022-08-22,34,6774,1,13.88702085,-80
2022-08-29,35,4996,3,-26.24741659,200
2022-09-05,36,4845,0,-3.022417934,NA
2022-09-12,37,4013,1,-17.17234262,NA
2022-09-19,38,3755,2,-6.429105407,100
2022-09-26,39,2930,0,-21.97070573,NA
2022-10-03,40,2793,2,-4.675767918,NA
2022-10-10,41,2094,3,-25.02685285,50
2022-10-17,42,2198,5,4.966571156,66.66666667
2022-10-24,43,1310,2,-40.40036397,-60
2022-10-31,44,1345,5,2.671755725,150
2022-11-07,45,1130,9,-15.98513011,80
2022-11-14,46,1116,3,-1.238938053,-66.66666667
2022-11-21,47,655,0,-41.30824373,NA
2022-11-28,48,1004,9,53.28244275,NA
2022-12-05,49,556,3,-44.62151394,-66.66666667
2022-12-12,50,282,1,-49.28057554,-66.66666667
2022-12-19,51,470,5,66.66666667,400
2022-12-26,52,524,3,11.4893617,-40
2023-01-02,1,385,1,-26.52671756,-66.66666667
2023-01-09,2,318,5,-17.4025974,400
2023-01-16,3,327,3,2.830188679,-40
2023-01-23,4,342,6,4.587155963,100
2023-01-30,5,177,2,-48.24561404,-66.66666667
2023-02-06,6,247,1,39.5480226,-50
2023-02-13,7,154,4,-37.65182186,300
2023-02-20,8,156,4,1.298701299,0
2023-02-27,9,173,8,10.8974359,100
2023-03-06,10,139,3,-19.65317919,-62.5
2023-03-13,11,106,0,-23.74100719,NA
